ID,Segment_Label,Income,Age,Total_Spending,Total_Purchases,Average_Order_Value,Response_Probability,Top_Recommended_Category,Recommendation_Score,Personalized_AOV_Uplift_Proxy
3033,Budget Browsers,38620.0,63,318,10,31.8,0.09305454091703831,Wines,26.30000000000001,1.3150000000000006
5710,Budget Browsers,40548.0,56,120,7,17.142857142857142,0.7531865360709065,Meat Products,11.45,0.5725
7373,Family-Oriented Regular Customers,46610.0,74,302,11,27.454545454545453,0.8474852716707119,No strong recommendation,0.0,0.0
8755,Family-Oriented Regular Customers,68657.0,80,1196,17,70.3529411764706,0.5512135902364672,Meat Products,143.45000000000005,7.172500000000003
10738,Budget Browsers,49389.0,75,65,5,13.0,0.24761224099821622,Fruits,0.15,0.0075
4339,Family-Oriented Regular Customers,67353.0,56,913,23,39.69565217391305,0.05409639391472774,Wines,230.39999999999998,11.52
10755,Budget Browsers,23718.0,50,81,6,13.5,0.043505892876206036,Wines,21.7,1.085
8595,Budget Browsers,42429.0,53,67,5,13.4,0.028584881277602968,Meat Products,2.9499999999999993,0.14749999999999996
2968,High-Value Loyalists,48948.0,83,902,22,41.0,0.9523398878066227,Meat Products,62.25,3.1125000000000003
8601,Family-Oriented Regular Customers,80011.0,46,1395,19,73.42105263157895,0.31316994218351285,Wines,60.80000000000001,3.040000000000001
503,Budget Browsers,20559.0,41,53,5,10.6,0.11786657553488407,Wines,3.3000000000000007,0.16500000000000004
8430,Budget Browsers,21994.0,69,22,3,7.333333333333333,0.5896474391915222,Meat Products,0.5999999999999996,0.029999999999999985
7281,Budget Browsers,51381.5,67,186,8,23.25,0.08240239716466986,Sweet Products,0.7999999999999998,0.039999999999999994
2139,Budget Browsers,7500.0,51,31,5,6.2,0.25600570332575934,Wines,5.6,0.27999999999999997
1371,High-Value Loyalists,79941.0,50,984,15,65.6,0.04359697225500325,Wines,181.60000000000002,9.080000000000002
9909,Budget Browsers,7500.0,30,122,7,17.428571428571427,0.6137074764397222,Wines,21.75,1.0875000000000001
7286,Budget Browsers,41728.0,58,55,4,13.75,0.06567185090045566,Fish Products,0.10000000000000009,0.0050000000000000044
7244,Budget Browsers,51381.5,75,124,7,17.714285714285715,0.029180979820064422,No strong recommendation,0.0,0.0
6566,Family-Oriented Regular Customers,72550.0,72,1319,19,69.42105263157895,0.5702008375197201,Wines,273.0999999999999,13.654999999999996
8614,Family-Oriented Regular Customers,65486.0,69,507,16,31.6875,0.053926298612747336,Sweet Products,33.25,1.6625
4114,High-Value Loyalists,79143.0,62,1693,28,60.464285714285715,0.9008558330413512,Fish Products,25.0,1.25
1331,Budget Browsers,35790.0,49,72,5,14.4,0.4835452529532349,Wines,10.399999999999999,0.5199999999999999
2225,High-Value Loyalists,82582.0,49,1617,20,80.85,0.6790143601383396,Wines,120.35000000000002,6.017500000000002
9381,Family-Oriented Regular Customers,66373.0,48,606,16,37.875,0.03653834615432579,Gold Products,27.5,1.375
6260,High-Value Loyalists,82384.0,71,1957,26,75.26923076923077,0.7542505995650918,No strong recommendation,0.0,0.0
10383,High-Value Loyalists,70287.0,60,1093,20,54.65,0.6737206956970423,Wines,154.64999999999998,7.732499999999999
7437,Budget Browsers,27938.0,38,29,5,5.8,0.10193543200579241,Fruits,0.2,0.010000000000000002
8557,Budget Browsers,51381.5,44,46,5,9.2,0.23142394068146332,Wines,1.25,0.0625
8375,Family-Oriented Regular Customers,55954.0,58,518,16,32.375,0.038451467108361705,Meat Products,23.35,1.1675000000000002
6853,High-Value Loyalists,75777.0,44,1438,20,71.9,0.9810306816255072,Wines,196.89999999999998,9.844999999999999
3076,Family-Oriented Regular Customers,66653.0,51,612,18,34.0,0.29192229060566155,Wines,13.699999999999989,0.6849999999999995
1012,Family-Oriented Regular Customers,61823.0,74,884,20,44.2,0.4860753467641697,Wines,78.95000000000005,3.9475000000000025
6518,Family-Oriented Regular Customers,67680.0,75,606,18,33.666666666666664,0.6771496479932274,Fish Products,4.85,0.2425
4137,High-Value Loyalists,70666.0,78,1076,15,71.73333333333333,0.23117653558964416,Meat Products,105.14999999999998,5.257499999999999
8082,Budget Browsers,25721.0,55,34,4,8.5,0.09369833389108113,Wines,10.8,0.54
1386,Budget Browsers,32474.0,59,11,3,3.6666666666666665,0.16023166324476718,Wines,3.0,0.15000000000000002
9369,High-Value Loyalists,88194.0,47,1274,31,41.096774193548384,0.8976110359536816,Sweet Products,9.100000000000001,0.45500000000000007
4477,Family-Oriented Regular Customers,69096.0,68,653,17,38.411764705882355,0.11687833889494538,Wines,75.80000000000001,3.790000000000001
1357,Family-Oriented Regular Customers,74854.0,56,1562,12,130.16666666666666,0.03132561670951491,Wines,118.5,5.925000000000001
1402,High-Value Loyalists,66991.0,72,1253,18,69.61111111111111,0.896889814032758,Gold Products,22.1,1.1050000000000002
10629,Budget Browsers,51381.5,53,109,6,18.166666666666668,0.5797099693312219,No strong recommendation,0.0,0.0
6312,Family-Oriented Regular Customers,65031.0,67,863,26,33.19230769230769,0.19941558166662124,Fish Products,45.150000000000006,2.2575000000000003
8132,Family-Oriented Regular Customers,60631.0,51,661,19,34.78947368421053,0.25842582287832705,Fish Products,4.7,0.23500000000000001
1050,Budget Browsers,28332.0,74,65,7,9.285714285714286,0.015225640966352386,Gold Products,0.75,0.037500000000000006
5846,Budget Browsers,40246.0,49,13,3,4.333333333333333,0.34228536119629815,Wines,3.8499999999999996,0.1925
1859,High-Value Loyalists,75251.0,54,1890,18,105.0,0.8507653262543372,Sweet Products,24.450000000000003,1.2225000000000001
7503,High-Value Loyalists,75825.0,50,2209,22,100.4090909090909,0.9688412102909004,No strong recommendation,0.0,0.0
10401,Budget Browsers,26326.0,50,18,3,6.0,0.15495467269625546,Wines,8.9,0.44500000000000006
1618,High-Value Loyalists,56046.0,61,692,19,36.421052631578945,0.9496517169084133,Meat Products,6.5,0.325
3332,Budget Browsers,29760.0,41,165,8,20.625,0.39315131859162145,No strong recommendation,0.0,0.0
2261,Budget Browsers,26304.0,57,16,3,5.333333333333333,0.4868000350221696,Wines,4.449999999999999,0.22249999999999998
5346,Budget Browsers,23559.0,53,79,6,13.166666666666666,0.04033957298148915,Sweet Products,1.05,0.052500000000000005
4119,Budget Browsers,38620.0,63,318,10,31.8,0.09305454091703831,Wines,26.30000000000001,1.3150000000000006
535,High-Value Loyalists,81361.0,39,778,26,29.923076923076923,0.2397895534256435,Meat Products,215.29999999999995,10.764999999999999
5268,Budget Browsers,29440.0,66,56,5,11.2,0.032711030770557356,Gold Products,0.75,0.037500000000000006
273,Budget Browsers,36138.0,56,151,8,18.875,0.4797858954165368,Meat Products,3.3999999999999986,0.16999999999999993
4452,Family-Oriented Regular Customers,50388.0,69,372,13,28.615384615384617,0.8086070964504836,Meat Products,8.75,0.4375
8504,High-Value Loyalists,79593.0,53,1366,18,75.88888888888889,0.12680359447805303,Wines,128.7,6.435
771,Budget Browsers,54178.0,59,194,9,21.555555555555557,0.008539051642552798,Sweet Products,1.05,0.052500000000000005
8996,Family-Oriented Regular Customers,51381.5,69,603,17,35.470588235294116,0.7866412459514546,Meat Products,89.94999999999999,4.4975
9235,Budget Browsers,51381.5,69,18,3,6.0,0.0965345720410148,Wines,1.6999999999999993,0.08499999999999996
5798,High-Value Loyalists,51381.5,53,985,14,70.35714285714286,0.03602841449708981,Meat Products,220.64999999999998,11.032499999999999
11178,Budget Browsers,42394.0,54,32,4,8.0,0.07642237357634056,Fish Products,0.2,0.010000000000000002
2230,Budget Browsers,23626.0,56,43,7,6.142857142857143,0.020883684203413327,Gold Products,0.85,0.0425
7516,Budget Browsers,30096.0,43,45,5,9.0,0.06289086167123739,Wines,2.9000000000000004,0.14500000000000002
7247,Family-Oriented Regular Customers,47916.0,66,606,17,35.64705882352941,0.6116967039490908,Meat Products,42.5,2.125
11100,Budget Browsers,51813.0,54,63,5,12.6,0.4716876528033571,Meat Products,1.3000000000000007,0.06500000000000004
4646,High-Value Loyalists,78497.0,75,978,24,40.75,0.28677569621970983,Wines,98.0,4.9
3037,Budget Browsers,50150.0,43,410,14,29.285714285714285,0.3464737791495493,Meat Products,39.30000000000001,1.9650000000000007
1473,Budget Browsers,47823.0,66,72,5,14.4,0.6516377993544297,Meat Products,3.8000000000000007,0.19000000000000006
1016,Budget Browsers,34554.0,67,55,5,11.0,0.24291181441905726,Sweet Products,0.05,0.0025000000000000005
4518,Family-Oriented Regular Customers,85693.0,47,1169,25,46.76,0.048734557892855405,Meat Products,79.30000000000001,3.9650000000000007
9370,High-Value Loyalists,65846.0,81,1120,15,74.66666666666667,0.38811840365397726,Wines,225.70000000000005,11.285000000000004
8908,High-Value Loyalists,87195.0,67,1097,19,57.73684210526316,0.07052637906340258,Wines,238.25,11.912500000000001
8373,Budget Browsers,24594.0,47,29,4,7.25,0.0032045466924189394,Wines,7.85,0.3925
7533,Budget Browsers,49096.0,62,187,9,20.77777777777778,0.2563583348997428,Sweet Products,0.6499999999999999,0.032499999999999994
2683,Family-Oriented Regular Customers,52413.0,57,910,22,41.36363636363637,0.1120438342860441,Wines,59.64999999999998,2.982499999999999
3629,Budget Browsers,38557.0,48,145,7,20.714285714285715,0.7692541516170073,No strong recommendation,0.0,0.0
10991,High-Value Loyalists,89058.0,66,850,13,65.38461538461539,0.6911736288794064,Meat Products,127.65,6.3825
5077,Family-Oriented Regular Customers,77298.0,47,969,23,42.130434782608695,0.022007353789981764,Meat Products,92.10000000000002,4.605000000000001
7431,High-Value Loyalists,68126.0,35,1820,16,113.75,0.9924102732352719,Fish Products,8.05,0.4025000000000001
3267,Family-Oriented Regular Customers,57288.0,63,608,17,35.76470588235294,0.11420519083775088,Meat Products,36.25,1.8125
999,High-Value Loyalists,86037.0,35,730,24,30.416666666666668,0.8274511277759173,Wines,278.35,13.917500000000002
9215,Budget Browsers,43974.0,46,551,16,34.4375,0.7407560116401414,Fish Products,6.55,0.3275
2286,Budget Browsers,50785.0,64,114,6,19.0,0.3521555231554295,Fish Products,2.3,0.11499999999999999
1592,High-Value Loyalists,90765.0,56,1724,15,114.93333333333334,0.8344561848019812,Wines,44.14999999999998,2.207499999999999
367,Budget Browsers,36550.0,48,577,15,38.46666666666667,0.13602494829675596,Wines,194.1,9.705
5234,Budget Browsers,30753.0,59,81,5,16.2,0.024766259777998262,Wines,13.350000000000001,0.6675000000000001
9862,Budget Browsers,21918.0,57,33,5,6.6,0.10082718187728974,Wines,17.5,0.875
9805,Family-Oriented Regular Customers,56129.0,73,660,18,36.666666666666664,0.033885404188644705,Sweet Products,60.69999999999999,3.0349999999999997
6205,Budget Browsers,32557.0,59,80,6,13.333333333333334,0.31397474902689443,Fish Products,0.5,0.025
8442,Budget Browsers,19510.0,41,30,4,7.5,0.1035340719177199,Wines,3.0500000000000007,0.15250000000000005
7386,Budget Browsers,30992.0,50,43,4,10.75,0.17320426165329844,Fruits,0.7,0.034999999999999996
7215,High-Value Loyalists,101970.0,43,1135,27,42.03703703703704,0.9709540184965603,Meat Products,95.35,4.7675
1491,High-Value Loyalists,71488.0,61,559,14,39.92857142857143,0.05945794362151698,Wines,53.099999999999994,2.655
11071,High-Value Loyalists,79607.0,42,1923,15,128.2,0.6549172743290519,Wines,110.14999999999998,5.507499999999999
3381,Budget Browsers,54348.0,73,90,6,15.0,0.03141414673467039,Fish Products,0.55,0.027500000000000004
8268,Family-Oriented Regular Customers,51381.5,65,404,14,28.857142857142858,0.2895229062929735,Meat Products,14.5,0.7250000000000001
11051,Family-Oriented Regular Customers,77376.0,70,661,19,34.78947368421053,0.00962453627378648,Wines,54.85000000000002,2.7425000000000015
8026,Family-Oriented Regular Customers,62998.0,74,463,14,33.07142857142857,0.13249786430014843,Wines,125.15,6.2575
433,Family-Oriented Regular Customers,61331.0,68,632,18,35.111111111111114,0.6817305910539156,Meat Products,12.850000000000001,0.6425000000000001
9597,High-Value Loyalists,73448.0,57,725,18,40.27777777777778,0.2746025733886195,Wines,91.19999999999999,4.56
1295,Family-Oriented Regular Customers,51381.5,63,725,18,40.27777777777778,0.01000264018706147,Wines,78.35000000000002,3.9175000000000013
5290,Budget Browsers,41551.0,62,279,11,25.363636363636363,0.26080447116137,Meat Products,4.75,0.23750000000000002
1685,High-Value Loyalists,62981.0,59,1482,22,67.36363636363636,0.9299289265155422,Gold Products,20.9,1.045
5342,Budget Browsers,9548.0,50,29,4,7.25,0.5741723660154325,Wines,13.4,0.67
9579,Budget Browsers,33762.0,67,106,6,17.666666666666668,0.2455112604225045,Sweet Products,0.95,0.0475
7660,Budget Browsers,35860.0,53,49,4,12.25,0.7922899796120133,Wines,7.850000000000001,0.39250000000000007
1461,Budget Browsers,36921.0,61,38,5,7.6,0.2799878440405563,No strong recommendation,0.0,0.0
821,High-Value Loyalists,92859.0,34,2077,21,98.9047619047619,0.8129258400657025,Gold Products,6.800000000000001,0.3400000000000001
11084,Family-Oriented Regular Customers,65104.0,50,1053,15,70.2,0.21461555796713175,Wines,144.29999999999995,7.214999999999998
8690,High-Value Loyalists,86111.0,64,1385,22,62.95454545454545,0.14351586929811294,Wines,69.69999999999999,3.4849999999999994
2937,Family-Oriented Regular Customers,68352.0,52,871,22,39.59090909090909,0.25458367799799114,Wines,357.45000000000005,17.872500000000002
9701,Budget Browsers,41883.0,38,312,9,34.666666666666664,0.4534011435990779,Wines,92.45,4.6225000000000005
9949,Family-Oriented Regular Customers,59809.0,50,877,12,73.08333333333333,0.4034632139540286,Wines,521.5,26.075000000000003
10837,Budget Browsers,23957.0,51,68,5,13.6,0.37237049461916516,Wines,4.2,0.21000000000000002
3120,Budget Browsers,38547.0,45,22,3,7.333333333333333,0.12491519452670106,Wines,5.6,0.27999999999999997
5885,Budget Browsers,35688.0,53,211,9,23.444444444444443,0.13219429415787162,Sweet Products,0.95,0.0475
4050,Budget Browsers,49605.0,60,127,7,18.142857142857142,0.012371435220220238,Gold Products,1.9000000000000004,0.09500000000000003
3830,Family-Oriented Regular Customers,59354.0,73,459,15,30.6,0.009565939020441103,No strong recommendation,0.0,0.0
7987,Family-Oriented Regular Customers,65747.0,57,460,15,30.666666666666668,0.019272446265513873,Wines,44.35000000000002,2.217500000000001
7798,Budget Browsers,46344.0,54,429,13,33.0,0.3626654279173578,Gold Products,34.150000000000006,1.7075000000000005
92,Budget Browsers,34176.0,38,89,7,12.714285714285714,0.4983470141007501,Wines,4.050000000000001,0.20250000000000004
7055,Family-Oriented Regular Customers,61010.0,74,1021,24,42.541666666666664,0.2577755104583099,Meat Products,38.3,1.915
10240,High-Value Loyalists,69372.0,77,1381,20,69.05,0.9787226413105392,Wines,209.20000000000005,10.460000000000003
3025,Budget Browsers,49967.0,68,306,12,25.5,0.6409608575991991,Gold Products,4.05,0.2025
9283,Budget Browsers,60199.0,48,18,3,6.0,0.15528959580238286,Wines,1.4499999999999993,0.07249999999999997
9970,Budget Browsers,55375.0,49,162,8,20.25,0.14874605614352832,No strong recommendation,0.0,0.0
2730,High-Value Loyalists,80317.0,71,1231,17,72.41176470588235,0.22336365102672168,Meat Products,112.14999999999998,5.607499999999999
2795,Budget Browsers,30523.0,68,13,3,4.333333333333333,0.7561937475302886,Wines,6.5,0.325
9260,High-Value Loyalists,70356.0,81,1706,25,68.24,0.9204020450327233,Fruits,4.649999999999999,0.23249999999999993
8182,Budget Browsers,23228.0,42,121,7,17.285714285714285,0.022334349216605435,No strong recommendation,0.0,0.0
10095,High-Value Loyalists,74165.0,51,1293,19,68.05263157894737,0.8911336007736322,Wines,69.54999999999995,3.477499999999998
8475,High-Value Loyalists,157243.0,53,1608,22,73.0909090909091,0.02084880488587799,Wines,230.8,11.540000000000001
4370,Budget Browsers,43482.0,60,88,6,14.666666666666666,0.020060123732558922,Wines,15.100000000000001,0.7550000000000001
10573,High-Value Loyalists,62551.0,73,421,17,24.764705882352942,0.7244810542413886,Wines,172.5,8.625
3712,Family-Oriented Regular Customers,52332.0,67,259,11,23.545454545454547,0.21994066055107706,Meat Products,6.399999999999999,0.31999999999999995
6637,High-Value Loyalists,66951.0,38,1117,14,79.78571428571429,0.28268857492469973,No strong recommendation,0.0,0.0
3152,Budget Browsers,26091.0,69,89,6,14.833333333333334,0.011457749770667611,No strong recommendation,0.0,0.0
5610,Budget Browsers,33456.0,61,36,4,9.0,0.028265733190259348,Fruits,0.20000000000000018,0.010000000000000009
6460,Budget Browsers,28718.0,44,57,5,11.4,0.07547359082886461,Meat Products,3.8499999999999996,0.1925
1349,Budget Browsers,50447.0,56,148,7,21.142857142857142,0.13976575490542353,No strong recommendation,0.0,0.0
1880,Budget Browsers,53537.0,67,93,6,15.5,0.20215686186891468,Meat Products,7.65,0.38250000000000006
641,Budget Browsers,52074.0,59,119,6,19.833333333333332,0.11064805635897157,Wines,49.55,2.4775
8717,Family-Oriented Regular Customers,80427.0,51,1835,27,67.96296296296296,0.3964623023937756,Gold Products,14.549999999999997,0.7274999999999999
10314,High-Value Loyalists,83837.0,78,1318,24,54.916666666666664,0.934066009353543,Meat Products,144.85000000000002,7.2425000000000015
10854,Budget Browsers,38853.0,56,45,5,9.0,0.02243544652375566,Fish Products,0.4,0.020000000000000004
10492,Budget Browsers,38285.0,67,10,3,3.3333333333333335,0.0026842457233724974,Wines,6.85,0.3425
6935,High-Value Loyalists,78497.0,75,978,24,40.75,0.28677569621970983,Wines,98.0,4.9
7698,Budget Browsers,51650.0,50,191,9,21.22222222222222,0.021392027671947395,Fish Products,0.3500000000000001,0.017500000000000005
3559,Budget Browsers,16248.0,38,57,6,9.5,0.011652721470032648,Wines,1.6500000000000004,0.08250000000000002
10562,High-Value Loyalists,66835.0,80,1033,23,44.91304347826087,0.32624048519564836,Wines,127.5,6.375
10796,Budget Browsers,30477.0,42,66,5,13.2,0.18959796157750183,Meat Products,4.050000000000001,0.20250000000000004
2563,Budget Browsers,28249.0,65,43,5,8.6,0.0029449387942258763,Wines,8.75,0.4375
3518,Budget Browsers,25271.0,43,50,4,12.5,0.4610726515744113,Wines,2.9000000000000004,0.14500000000000002
5823,Budget Browsers,32303.0,56,39,5,7.8,0.13499784898036538,Meat Products,4.9,0.24500000000000002
3934,Family-Oriented Regular Customers,61286.0,60,608,16,38.0,0.08494478896943596,Gold Products,13.050000000000011,0.6525000000000006
6982,High-Value Loyalists,74068.0,50,1581,23,68.73913043478261,0.6191300147345896,Meat Products,42.549999999999955,2.1274999999999977
6431,Budget Browsers,45759.0,62,68,5,13.6,0.7188849693124533,Sweet Products,0.05,0.0025000000000000005
9733,Budget Browsers,24882.0,48,80,4,20.0,0.3739097305176983,Meat Products,10.2,0.51
5602,High-Value Loyalists,66973.0,37,1282,27,47.48148148148148,0.11443752600022826,Wines,46.549999999999955,2.327499999999998
1324,Budget Browsers,38872.0,38,91,6,15.166666666666666,0.05365162347852715,Fruits,3.75,0.1875
326,Budget Browsers,51148.0,53,315,12,26.25,0.27069128316144697,No strong recommendation,0.0,0.0
7224,Budget Browsers,31353.0,49,31,4,7.75,0.18150749700141924,Wines,1.5,0.07500000000000001
6999,High-Value Loyalists,69661.0,46,834,22,37.90909090909091,0.023176038110789693,Wines,126.45000000000005,6.3225000000000025
9938,High-Value Loyalists,80067.0,72,1600,16,100.0,0.2607118237123587,Fish Products,27.299999999999997,1.365
6422,High-Value Loyalists,86718.0,72,1270,16,79.375,0.624733932729337,Wines,29.05000000000001,1.4525000000000006
3182,Budget Browsers,46854.0,53,263,9,29.22222222222222,0.32440963110696025,Wines,36.19999999999999,1.8099999999999996
7300,Family-Oriented Regular Customers,69142.0,74,535,16,33.4375,0.09841541875445467,Meat Products,12.799999999999997,0.6399999999999999
10424,High-Value Loyalists,75922.0,58,1295,17,76.17647058823529,0.17001523610009672,Wines,76.0,3.8000000000000003
8727,Family-Oriented Regular Customers,63693.0,48,1150,26,44.23076923076923,0.06552453752466529,Meat Products,201.5,10.075000000000001
2798,High-Value Loyalists,102160.0,49,1240,26,47.69230769230769,0.9917000444641112,Meat Products,101.25,5.0625
1030,Budget Browsers,40637.0,61,38,4,9.5,0.31590590265409885,Wines,1.8999999999999986,0.09499999999999993
624,Budget Browsers,18890.0,42,35,3,11.666666666666666,0.9708855795126592,Meat Products,7.199999999999999,0.36
5176,Budget Browsers,29604.0,38,53,4,13.25,0.11091930429492637,No strong recommendation,0.0,0.0
5552,Budget Browsers,48721.0,63,293,11,26.636363636363637,0.3337703152987458,No strong recommendation,0.0,0.0
868,Budget Browsers,44794.0,60,65,5,13.0,0.005691819359690653,Meat Products,2.5999999999999996,0.12999999999999998
380,Family-Oriented Regular Customers,64497.0,72,1804,24,75.16666666666667,0.952954794972063,Fish Products,4.0,0.2
2677,Budget Browsers,46097.0,70,241,10,24.1,0.3289318314709771,Wines,24.799999999999997,1.24
6521,High-Value Loyalists,77972.0,72,1101,19,57.94736842105263,0.12943682282617966,Meat Products,113.14999999999998,5.657499999999999
6927,Budget Browsers,44377.0,58,264,11,24.0,0.44558252209115734,Meat Products,10.200000000000003,0.5100000000000001
2877,Family-Oriented Regular Customers,46014.0,52,541,16,33.8125,0.3361726354072517,Wines,24.80000000000001,1.2400000000000007
0,High-Value Loyalists,70951.0,41,1198,16,74.875,0.15870622482223448,Wines,158.5,7.925000000000001
1584,Budget Browsers,41443.0,49,482,14,34.42857142857143,0.020150388202072718,Gold Products,63.94999999999999,3.1975
7264,Budget Browsers,52195.0,48,17,3,5.666666666666667,0.2970786718377919,No strong recommendation,0.0,0.0
6274,High-Value Loyalists,83790.0,78,1615,24,67.29166666666667,0.5909588212790208,Wines,118.5,5.925000000000001
1377,Budget Browsers,44551.0,72,285,10,28.5,0.5615536593800298,Meat Products,15.899999999999999,0.7949999999999999
454,Family-Oriented Regular Customers,69508.0,46,1135,26,43.65384615384615,0.1590779550093939,Wines,302.45000000000005,15.122500000000002
1755,Budget Browsers,45204.0,38,114,6,19.0,0.0035784504544798456,Sweet Products,1.2000000000000002,0.06000000000000001
2075,High-Value Loyalists,72460.0,57,1047,15,69.8,0.09006123148132886,Wines,96.05000000000001,4.802500000000001
4785,Family-Oriented Regular Customers,77622.0,56,714,20,35.7,0.08681672400445681,Wines,39.299999999999955,1.9649999999999979
9076,Budget Browsers,30732.0,46,185,9,20.555555555555557,0.5794912558729418,Meat Products,5.800000000000001,0.29000000000000004
7079,Family-Oriented Regular Customers,63887.0,64,1245,27,46.111111111111114,0.5292543655511132,Wines,49.10000000000002,2.4550000000000014
4653,Budget Browsers,42011.0,48,189,8,23.625,0.23154669942253592,Meat Products,16.450000000000003,0.8225000000000002
7375,Family-Oriented Regular Customers,51369.0,50,576,14,41.142857142857146,0.08589865440575767,Fish Products,12.0,0.6000000000000001
709,Family-Oriented Regular Customers,51537.0,74,1103,15,73.53333333333333,0.6582852996847961,Wines,62.200000000000045,3.1100000000000025
460,High-Value Loyalists,79930.0,54,1753,16,109.5625,0.6621880697764814,Gold Products,8.8,0.44000000000000006
3726,Budget Browsers,34320.0,40,17,3,5.666666666666667,0.07856738726902908,Wines,4.699999999999999,0.235
6798,Budget Browsers,37070.0,60,433,14,30.928571428571427,0.5702770364570626,No strong recommendation,0.0,0.0
5341,Family-Oriented Regular Customers,81975.0,64,1588,13,122.15384615384616,0.9281199695057538,Meat Products,93.0,4.65
1606,Budget Browsers,38590.0,55,22,3,7.333333333333333,0.12105272993761339,Wines,2.4000000000000004,0.12000000000000002
9617,Budget Browsers,15033.0,75,19,4,4.75,0.10026156589777988,Wines,10.15,0.5075000000000001
3233,Family-Oriented Regular Customers,62745.0,61,1117,26,42.96153846153846,0.060864486447741104,Meat Products,150.10000000000002,7.505000000000002
89,Budget Browsers,22212.0,51,69,6,11.5,0.05728726368604186,Wines,5.699999999999999,0.285
2936,Budget Browsers,23661.0,44,23,4,5.75,0.0986594174297463,No strong recommendation,0.0,0.0
9449,Family-Oriented Regular Customers,79761.0,68,605,18,33.611111111111114,0.21290804956734666,Wines,41.25,2.0625
7297,Budget Browsers,7500.0,53,57,7,8.142857142857142,0.15756013469047997,Wines,5.5,0.275
313,High-Value Loyalists,73455.0,58,2088,21,99.42857142857143,0.4534915127516078,Gold Products,24.85,1.2425000000000002
